kabupaten;tahun;Pelayanan_Umum;Ketertiban_aman;Ekonomi;Lingk_hidup;Perum_Fasum;Kesehatan;Pariwisata;Pendidikan;Perlindungan_Sosial;Total;A_Pertanian_KP;B_Pertambangan;C_Industri_Pengolahan;D_Pengadaan_LG;E_Pengadaan_Air_dll;F_Konstruksi;G_Perdagangan_Besar_dll;H_Transportasi;I_Penyediaan_AkMamin;J_Infokom;K_Jasa_Keuangan;L_Real_Estate;M_N_Jasa_Perusahaan;O_Administrasi_Pem;P_Jasa_Pendidikan;Q_Jasa_KesSos;R_S_T_U_Jasa_Lain;PDRB;ipm;miskin;pertumbuhan;gini;unemploy;pop_ribujiwa;pdrb_perkap;pct_formal;pend_miskin
Gowa;2014;153,3;10,6;108,4;3,7;300,4;145,7;13,1;508,5;14,9;1258,6;3116,77;262,61;622,48;19,11;14,04;1018,64;1126,02;141,46;232,75;964,47;222,79;671,81;11,57;550,38;439,27;174,64;131,38;9720,17;66,12;8;7,17;0,4;2,3;709,39;16,98;32,63;57
Gowa;2015;301,7;11,5;93,4;14,3;248,0;207,1;9,2;565,5;21,3;1472,1;3232,8;295,06;663,81;18,91;14,08;1093,06;1197,77;151,31;247,75;1064,3;240,24;776,6;12,18;570,42;468,94;191,46;141,52;10380,22;66,87;8,27;6,79;0,42;4,96;721,62;19,03;33,43;59,47
Gowa;2016;89,5;228,4;13,0;4,6;5,1;374,1;574,5;19,6;293,8;1602,5;3401,02;335,04;717,79;21,59;14,69;1182,24;1324,67;156,26;267,27;1173,64;274,58;846,88;13,08;583,12;497,64;204,7;151,83;11166,02;67,7;8,4;7,57;0,41;4,96;732,59;21,04;34,22;61,52
Gowa;2017;402,3;10,9;66,5;355,0;12,4;296,1;6,7;557,2;20,8;1728,0;3555,19;379,94;779,61;23,07;15,68;1281,85;1443,82;166,75;294,35;1289,48;279,05;909,8;14,15;610,19;540,49;219,05;168,91;11971,36;68,33;8,42;7,21;0,4;6,14;742,34;22,98;35,02;62,77
Gowa;2018;480,0;12,3;67,9;13,9;340,1;303,0;7,0;579,4;24,0;1827,6;3708,33;427,99;811,12;24,32;17,27;1390,95;1585,64;181,62;329,24;1423,44;289,66;963,12;15,46;632,19;594,12;237,65;190,54;12822,68;68,87;7,83;7,14;0,38;4,8;751,98;25,07;37,2;59,34
Gowa;2019;507,3;11,4;61,7;14,7;298,8;328,3;6,3;616,5;20,9;1866,0;3751,39;495,07;911,42;25,33;18,13;1530,24;1732,69;203,96;354,21;1581,12;296,63;1024,45;17,06;741,13;634,29;257,15;208,84;13783,11;69,66;7,53;7,46;0,35;4,35;761,49;27,5;37,67;57,99
Gowa;2020;582,4;11,8;49,7;10,4;251,2;369,4;4,6;571,2;31,6;1882,3;3852,28;500,62;853,49;26,55;19,74;1536,08;1695,56;193,51;316,99;1752,99;308,69;1070,84;15,22;738,99;673,34;283,84;187,04;14025,76;70,14;7,38;1,76;0,35;6,44;765,84;28,2;39,05;57,68
Gowa;2021;508,6;28,4;223,2;40,0;4,5;415,3;4,4;564,9;15,6;1804,8;4289,11;520,64;933,5;28,01;20,53;1597,53;1798,11;209,82;329,32;1886,67;331,15;1097,61;16,06;782,53;696,91;305,13;201,07;15043,7;70,29;7,54;7,26;0,36;4,3;775,24;30,36;38,67;58,66
Gowa;2022;512,8;43,0;398,2;23,8;24,2;327,8;3,8;542,1;8,3;1884,1;4432,28;533,66;1048,83;28,69;21,88;1616,3;1912,63;245,59;381,64;1981,01;339,93;1130,54;18,31;786,02;710,85;329,54;217,16;15734,85;70,99;7,36;4,59;0,36;3,26;788,16;32,5;33,23;57,96
Gowa;2023;544,8;19,8;395,1;17,9;16,0;391,9;4,1;599,6;7,0;1996,1;4627,81;569,87;1185,18;32,3;23,11;1617,99;2042,22;275,17;463,75;2092,04;332,59;1225,02;21,13;783,34;717,25;386,22;255,38;16650,36;71,57;7,42;5,82;0,38;3,43;801,11;35,52;35,85;59,1
Gowa;2024;600,4;0,0;0,0;0,0;0,0;431,0;4,2;702,0;0,0;1692,7;4653,29;603,85;1287,16;33,18;24,24;1658,73;2204,79;288,31;520,21;2254,29;346,26;1356,29;22,96;822,55;759,16;417,55;294,17;17547;72,26;6,85;5,39;0,33;3,91;814,04;37,77;39,8;55,13
Gowa;2025;618,5;0,0;0,0;0,0;0,0;419,3;4,0;719,4;0,0;1788,4;4955,86;640,16;1412,5;32,99;25,41;1760,61;2319,12;305,14;570,94;2383,13;374,43;1529,49;24,21;846,12;814,23;458,91;328,8;18782,06;74,22;6,64;7,04;0,32;4,25;827;41,35;47,39;54,04
Jeneponto;2014;251,5;11,5;74,0;10,9;100,3;121,4;4,1;215,4;5,2;794,2;2349,83;96,19;171,6;10,03;4,57;439,07;646,06;51,52;13,57;215,86;99,64;115,2;0,94;326,24;104,59;101,93;26,8;4773,64;61,45;15,31;7,93;0,36;2,7;353,29;17,42;23,09;54,2
